kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag
11652427,K05926.01,,CANDIDATE,26.46288074,,1.4,,,,,,1,,,,,,,286.17105,49.71032,13.023
11654039,K05927.01,,FALSE POSITIVE,436.42852,0.3772,13.8,163.9,1.26,245.0,0.86,9.2,1,,5997.0,4.466,-0.14,0.971,1.004,287.29846,49.703049,13.298
11674709,K05928.01,,CANDIDATE,20.69920737,,2.17,,,,,,1,55.0,,,,,,297.74567,49.70763,11.957
11716643,K05929.01,,CANDIDATE,466.002988,0.867,10.278,2363.6,4.92,223.0,0.58,42.3,1,3.0,5830.0,4.54,-0.14,0.876,0.97,293.86526,49.800289,14.692
11722217,K05930.01,,CANDIDATE,302.77571,0.1265,3.183,1106.0,1.0,106.0,0.03,7.1,1,,3358.0,4.944,0.0,0.303,0.294,296.2525,49.886559,15.755
11773174,K05931.01,,CANDIDATE,115.19952922,,2.67,,,,,,1,,,,,,,296.55469,49.958092,11.794
11803074,K05932.01,,CANDIDATE,355.86134,0.003,23.39,1220.7,2.79,233.0,0.7,15.2,1,4.0,5736.0,4.576,-0.34,0.801,0.892,285.33783,50.066132,15.887
11807906,K05933.01,,CANDIDATE,236.506437,0.1474,5.004,744.4,10.37,480.0,12.54,10.6,1,,5066.0,3.414,-0.06,3.9,1.442,288.43665,50.075722,13.856
11811382,K05934.01,,CANDIDATE,19.3854894,0.0074,1.031,4560.0,6.13,632.0,37.73,2.7,1,69.0,5432.0,4.42,-0.16,0.913,0.801,290.36365,50.052608,13.891
11818566,K05935.01,,CANDIDATE,416.87893121,,4.45,,,,,,1,,,,,,,294.2063,50.045399,15.69
11819396,K05936.01,,CANDIDATE,48.38798413,,1.23,,,,,,1,,,,,,,294.56738,50.069721,15.025
11824578,K05937.01,,CANDIDATE,357.588538,0.1542,3.367,344.8,3.53,420.0,7.38,7.2,1,,7435.0,4.082,-0.16,1.876,1.547,296.7554,50.055271,13.382
11860294,K05938.01,,CANDIDATE,545.205601,0.3515,3.296,199.7,1.66,257.0,1.03,7.1,1,,6273.0,4.345,-0.08,1.155,1.073,289.65347,50.12801,12.812
11868941,K05939.01,,CANDIDATE,105.053389,0.2199,1.988,176.7,1.52,449.0,9.61,5.8,1,,6471.0,4.392,-0.18,1.13,1.147,294.35275,50.185989,13.724
11905398,K05940.01,,CANDIDATE,24.7967294,0.952,4.278,970.5,3.14,537.0,19.62,13.8,1,35.0,5496.0,4.592,-0.24,0.776,0.869,286.48987,50.230068,15.627
11910670,K05941.01,,CANDIDATE,44.7060191,1.6552,0.25,292.0,60.47,465.0,11.01,6.6,1,,5509.0,4.482,-0.52,0.811,0.727,289.65152,50.282619,13.783
11911929,K05942.01,,CANDIDATE,125.277815,0.131,4.442,432.3,15.75,799.0,96.53,11.0,1,,5119.0,2.961,-0.26,7.738,1.997,290.3689,50.27055,13.325
11923213,K05943.01,,CANDIDATE,27.2020672,0.223,1.811,180.3,1.87,719.0,63.31,8.7,1,49.0,5869.0,4.175,0.1,1.396,1.065,296.20459,50.236328,14.172
11924426,K05944.01,,FALSE POSITIVE,64.713168094,0.573,5.69869,312970.0,62.03,482.0,12.8,3582.5,1,0.0,6175.0,4.44,-0.42,0.974,0.952,296.70383,50.281551,13.882
11959893,K05945.01,,CANDIDATE,40.7282314,0.9828,13.677,221.8,4.58,829.0,111.83,19.4,1,,6531.0,3.936,0.14,2.231,1.566,289.58356,50.348137,12.717
11966643,K05946.01,,CANDIDATE,183.38048452,,3.25,,,,,,1,,,,,,,293.52264,50.308079,13.612
11968514,K05947.01,,FALSE POSITIVE,1.036592136,1.25,2.296,2118.2,293.01,4194.0,73013.77,150.6,1,1283.0,4884.0,2.737,-0.28,8.747,1.522,294.36172,50.307598,11.449
12007270,K05948.01,,CANDIDATE,398.51312,0.5091,5.41,249.2,1.23,222.0,0.58,5.9,1,,5776.0,4.596,-0.56,0.759,0.83,288.18256,50.49836,13.843
12009917,K05949.01,,CANDIDATE,559.785594,0.411,3.496,274.8,1.88,249.0,0.92,7.3,1,,6201.0,4.352,-0.2,1.111,1.011,289.68549,50.409229,13.295
12020376,K05950.01,,CANDIDATE,109.43946,0.0905,3.801,187.1,1.0,314.0,2.31,7.3,1,,5359.0,4.611,-0.28,0.741,0.823,295.4801,50.42128,13.718
12066767,K05951.01,,CANDIDATE,194.25835342,,3.15,,,,,,1,,,,,,,294.17059,50.593632,15.779
12071775,K05952.01,,CANDIDATE,164.507439,0.3819,11.428,433.8,2.15,346.0,3.39,11.7,1,,5866.0,4.382,-0.22,1.02,0.916,296.40887,50.585171,15.025
12102775,K05953.01,,CANDIDATE,370.84786,0.8847,13.966,1440.0,4.03,219.0,0.54,15.2,1,,5291.0,4.539,0.56,0.886,0.989,286.39944,50.625679,15.479
12105086,K05954.01,,CANDIDATE,73.908995,0.4947,3.916,100.5,0.94,421.0,7.44,7.0,1,,5865.0,4.518,-0.04,0.918,1.012,288.05573,50.65369,13.144
12110901,K05955.01,,CANDIDATE,96.32561456,,2.28,,,,,,1,,,,,,,291.59988,50.635891,14.451
12121701,K05956.01,,CANDIDATE,212.646179,0.1739,2.539,953.0,3.19,321.0,2.5,5.4,1,,6108.0,4.466,0.07,1.03,1.132,296.90057,50.628059,15.611
12156805,K05957.01,,FALSE POSITIVE,371.54879,0.6743,9.841,125.6,1.13,230.0,0.66,10.1,1,,5225.0,4.41,0.22,0.954,0.853,289.96442,50.791859,12.235
12165063,K05958.01,,FALSE POSITIVE,226.499243,0.266,1.328,127.4,0.89,245.0,0.86,4.7,1,,5093.0,4.525,-0.04,0.798,0.777,294.52161,50.795456,12.059
12168895,K05959.01,,CANDIDATE,251.48808,0.8011,6.8,305.0,1.74,284.0,1.55,6.4,1,,5979.0,4.52,-0.22,0.902,0.984,296.24155,50.78051,14.495
12170767,K05960.01,,CANDIDATE,32.4185265,0.7105,5.154,110.7,1.62,687.0,52.7,7.9,1,,5622.0,4.044,-0.38,1.441,0.84,297.0217,50.769112,13.325
12253490,K05961.01,,CANDIDATE,19.159760875,1.191,3.10166,32491.1,25.24,424.0,7.65,900.3,1,73.0,4492.0,4.727,-1.18,0.516,0.518,288.64325,50.90118,15.053
